Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
KD-7610W,ឈុត ស,,KD168,1,5,14,10, No Tax, exclusive,KD7610,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7610R,ឈុត ក្រហម,,KD168,1,5,14,10, No Tax, exclusive,KD7610,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7500,អាវ,,KD168,1,5,14,10, No Tax, exclusive,KD7500,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7302,រ៉ូប,,KD168,1,5,16,10, No Tax, exclusive,KD7302,120=1_16|130=1_16|140=1_16|150=1_16|160=1_16,,,,,,,,,,,,no_image.png,standard
KD-7059P,ឈុត ឈូក,,KD168,1,5,13,10, No Tax, exclusive,KD7059,120=1_13|130=1_13|140=1_13|150=1_13|160=1_13,,,,,,,,,,,,no_image.png,standard
KD-7059Y,ឈុត លឿង,,KD168,1,5,13,10, No Tax, exclusive,KD7059,120=1_13|130=1_13|140=1_13|150=1_13|160=1_13,,,,,,,,,,,,no_image.png,standard
KD-7393,ឈុត,,KD168,1,5,16,10, No Tax, exclusive,KD7393,110=1_16|120=1_16|130=1_16|140=1_16|150=1_16|160=1_16,,,,,,,,,,,,no_image.png,standard
KD-7509Gr,ឈុត ប្រផេះ,,KD168,1,5,15,10, No Tax, exclusive,KD7509,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-7509W,ឈុត ស,,KD168,1,5,15,10, No Tax, exclusive,KD7509,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-6843R,ឈុត ក្រហម,,KD168,1,5,15,10, No Tax, exclusive,KD6843,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-6843Db,ឈុត ប៊ិច,,KD168,1,5,15,10, No Tax, exclusive,KD6843,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-7346P,ឈុត ឈូក,,KD168,1,5,14,10, No Tax, exclusive,KD7346,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7346W,ឈុត ស,,KD168,1,5,14,10, No Tax, exclusive,KD7346,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7347,ឈុត,,KD168,1,5,14,10, No Tax, exclusive,KD7347,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
